,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
102,0.0,0.27549,1531,6,4032,0,6,0.11659,0.09104342366344746,0.00028400645516843463,0.0020275259100054886,-0.001113,0.0004667237730051285
103,4.0,-0.721235,2093,484,3554,275,209,0.116519,0.09096767994412806,0.00036411167750457785,0.002216968226435795,-0.001165,0.0004715038918464258
104,1.0,0.412498,1355,3564,474,1421,2143,0.116626,0.0909435027565948,0.0001777702884468216,0.0021819102222684302,-0.001242,0.0004597106757038163
105,5.0,0.491704,2093,3634,404,1718,1916,0.116932,0.09118583157538095,0.0003816760727729948,0.0017638111968210672,-0.001125,0.00046428101984840654
106,3.0,0.532144,301,3615,423,1789,1826,0.117566,0.09154675667017863,0.0007039790265693653,0.0015107129104092708,-0.001197,0.00046422732197410954
107,0.0,0.954546,3055,3651,387,2378,1273,0.118447,0.09173840519327132,0.001019210196486599,0.0018782065711953604,-0.001517,0.00040333947844848434
108,0.0,0.675018,3055,3451,587,1960,1491,0.119112,0.09227102748039527,0.001305179937264588,0.001304989272283857,-0.001729,0.0003836416406998667
109,5.0,0.571205,3148,3161,877,1707,1454,0.119457,0.09244546001170216,0.0014117261790621192,0.001876234888888,-0.001658,0.00035908618142776967
110,1.0,0.680443,1355,3738,300,2073,1665,0.119558,0.0925004222735859,0.001455556863918547,0.002121044909855107,-0.001743,0.0003405769464686214
111,5.0,0.285144,3803,3584,454,1128,2456,0.119755,0.09267767172260012,0.0014609340914567101,0.002235885666354205,-0.001646,0.0003368378897714191
112,2.0,0.443164,1355,3170,868,1343,1827,0.119849,0.09277245102312388,0.0014816442162102705,0.002235885666354205,-0.00158,0.0003358491617660234
113,3.0,0.716898,254,3715,323,2153,1562,0.120352,0.09313211214761652,0.0010466157456626292,0.0017067168356069814,-0.001659,0.0003415342633888374
114,2.0,-0.509061,2284,3119,919,1431,1688,0.120143,0.09291468395657036,0.0012239039704801584,0.0015781885324948686,-0.001778,0.0003475721962705137
115,5.0,0.611673,3179,3735,303,2050,1685,0.12032,0.09319033913309982,0.0012182033752300312,0.001554779385397535,-0.001712,0.0003709188909969311
116,1.0,0.517297,1355,3735,303,1741,1994,0.120365,0.09316672405400592,0.001181388479662862,0.001554779385397535,-0.00173,0.00037166454586199673
117,1.0,-0.72589,3764,3979,59,2286,1693,0.120302,0.09331883303373109,0.0012858927618322677,0.0018362638678470079,-0.001598,0.0003829608815886618
118,0.0,-0.458722,1176,3507,531,1549,1958,0.119823,0.09296665511186433,0.001737916088097838,0.0022542236925792844,-0.001378,0.0003573337709177036
119,1.0,0.473283,3750,3400,638,1499,1901,0.119904,0.09307895587758211,0.0017007505420853254,0.0026876946601318225,-0.00138,0.0003515973633910881
120,2.0,-0.619674,2284,3104,934,1621,1483,0.119778,0.09291332901767624,0.0016090760246979705,0.002393900109355307,-0.001559,0.000359084260587864
121,5.0,0.418555,469,3745,293,1620,2125,0.119851,0.09298422067605891,0.0016675512164276835,0.0024196300904635246,-0.001509,0.00035675977786583235
